"""","平成２８年４月１日現在_人口_総数","平成２８年４月１日現在_人口_男","平成２８年４月１日現在_人口_女","平成２８年４月１日現在_世帯数","対前月増減_人口","対前月増減_世帯数","前月_人口","前月_世帯数"
"県       計","958018.0","450408.0","507610.0","391760.0","-2188.0","153.0","960206.0","391607.0"
"市　部　計","749229.0","352706.0","396523.0","307653.0","-1634.0","164.0","750863.0","307489.0"
"郡　部　計","208789.0","97702.0","111087.0","84107.0","-554.0","-11.0","209343.0","84118.0"
"和 歌 山 市","363125.0","170606.0","192519.0","153058.0","-457.0","196.0","363582.0","152862.0"
"海   南   市","51437.0","23969.0","27468.0","20629.0","-107.0","-18.0","51544.0","20647.0"
"橋   本   市","63199.0","29717.0","33482.0","23632.0","-166.0","12.0","63365.0","23620.0"
"有   田   市","28205.0","13348.0","14857.0","10579.0","-56.0","11.0","28261.0","10568.0"
"御   坊   市","24572.0","11880.0","12692.0","9918.0","-74.0","13.0","24646.0","9905.0"
"田   辺   市","74105.0","34763.0","39342.0","32084.0","-343.0","-58.0","74448.0","32142.0"
"新   宮   市","28986.0","13446.0","15540.0","13514.0","-179.0","-33.0","29165.0","13547.0"
"紀の川市","62208.0","29298.0","32910.0","23458.0","-148.0","25.0","62356.0","23433.0"
"岩出市","53392.0","25679.0","27713.0","20781.0","-104.0","16.0","53496.0","20765.0"
"海草郡","9087.0","4160.0","4927.0","3724.0","-26.0","0.0","9113.0","3724.0"
"紀美野町","9087.0","4160.0","4927.0","3724.0","-26.0","0.0","9113.0","3724.0"
"伊都郡","24498.0","11509.0","12989.0","9392.0","-65.0","11.0","24563.0","9381.0"
"かつらぎ町","16850.0","7802.0","9048.0","6314.0","-66.0","1.0","16916.0","6313.0"
"九 度 山 町","4346.0","1992.0","2354.0","1625.0","-5.0","-3.0","4351.0","1628.0"
"高   野   町","3302.0","1715.0","1587.0","1453.0","6.0","13.0","3296.0","1440.0"
"有田郡","45522.0","21324.0","24198.0","16719.0","-112.0","17.0","45634.0","16702.0"
"湯   浅   町","12102.0","5640.0","6462.0","4763.0","-50.0","3.0","12152.0","4760.0"
"広   川   町","7134.0","3338.0","3796.0","2503.0","-16.0","1.0","7150.0","2502.0"
"有田川町","26286.0","12346.0","13940.0","9453.0","-46.0","13.0","26332.0","9440.0"
"日高郡","51184.0","24212.0","26972.0","18959.0","-101.0","17.0","51285.0","18942.0"
"美   浜   町","7445.0","3426.0","4019.0","2982.0","-14.0","7.0","7459.0","2975.0"
"日   高   町","7644.0","3627.0","4017.0","2789.0","-5.0","5.0","7649.0","2784.0"
"由   良   町","5766.0","2829.0","2937.0","2208.0","-9.0","3.0","5775.0","2205.0"
"印   南   町","8001.0","3741.0","4260.0","2915.0","-22.0","-4.0","8023.0","2919.0"
"みなべ町","12616.0","5982.0","6634.0","4406.0","-36.0","-3.0","12652.0","4409.0"
"日高川町","9712.0","4607.0","5105.0","3659.0","-15.0","9.0","9727.0","3650.0"
"西牟婁郡","40373.0","18870.0","21503.0","17424.0","-85.0","11.0","40458.0","17413.0"
"白   浜   町","21260.0","9792.0","11468.0","9411.0","-100.0","-28.0","21360.0","9439.0"
"上 富 田 町","15046.0","7149.0","7897.0","6098.0","33.0","42.0","15013.0","6056.0"
"す さ み 町","4067.0","1929.0","2138.0","1915.0","-18.0","-3.0","4085.0","1918.0"
"東牟婁郡","38125.0","17627.0","20498.0","17889.0","-165.0","-67.0","38290.0","17956.0"
"那智勝浦町","15503.0","7120.0","8383.0","7253.0","-66.0","-17.0","15569.0","7270.0"
"太   地   町","3051.0","1379.0","1672.0","1380.0","-2.0","5.0","3053.0","1375.0"
"古 座 川 町","2778.0","1253.0","1525.0","1359.0","-15.0","-4.0","2793.0","1363.0"
"北   山   村","434.0","194.0","240.0","236.0","-6.0","-3.0","440.0","239.0"
"串本町","16359.0","7681.0","8678.0","7661.0","-76.0","-48.0","16435.0","7709.0"
