"""","平成２８年１１月１日現在_人口_総数","平成２８年１１月１日現在_人口_男","平成２８年１１月１日現在_人口_女","平成２８年１１月１日現在_世帯数","対前月増減_人口","対前月増減_世帯数","前月_人口","前月_世帯数"
"県       計","953397.0","448475.0","504922.0","392934.0","-527.0","-19.0","953924.0","392953.0"
"市　部　計","745986.0","351325.0","394661.0","308728.0","-389.0","9.0","746375.0","308719.0"
"郡　部　計","207411.0","97150.0","110261.0","84206.0","-138.0","-28.0","207549.0","84234.0"
"和 歌 山 市","361989.0","170221.0","191768.0","153774.0","-174.0","18.0","362163.0","153756.0"
"海   南   市","51060.0","23781.0","27279.0","20615.0","-52.0","-16.0","51112.0","20631.0"
"橋   本   市","62917.0","29550.0","33367.0","23675.0","-24.0","1.0","62941.0","23674.0"
"有   田   市","27921.0","13228.0","14693.0","10571.0","-42.0","-11.0","27963.0","10582.0"
"御   坊   市","24397.0","11811.0","12586.0","9962.0","-17.0","5.0","24414.0","9957.0"
"田   辺   市","73652.0","34509.0","39143.0","32071.0","-72.0","-9.0","73724.0","32080.0"
"新   宮   市","28733.0","13349.0","15384.0","13454.0","-16.0","-2.0","28749.0","13456.0"
"紀の川市","61811.0","29133.0","32678.0","23520.0","-39.0","-12.0","61850.0","23532.0"
"岩出市","53506.0","25743.0","27763.0","21086.0","47.0","35.0","53459.0","21051.0"
"海草郡","8965.0","4107.0","4858.0","3708.0","-24.0","-2.0","8989.0","3710.0"
"紀美野町","8965.0","4107.0","4858.0","3708.0","-24.0","-2.0","8989.0","3710.0"
"伊都郡","24253.0","11398.0","12855.0","9392.0","-7.0","-5.0","24260.0","9397.0"
"かつらぎ町","16689.0","7731.0","8958.0","6323.0","3.0","-1.0","16686.0","6324.0"
"九 度 山 町","4286.0","1965.0","2321.0","1623.0","-9.0","-1.0","4295.0","1624.0"
"高   野   町","3278.0","1702.0","1576.0","1446.0","-1.0","-3.0","3279.0","1449.0"
"有田郡","45255.0","21211.0","24044.0","16752.0","-9.0","-4.0","45264.0","16756.0"
"湯   浅   町","11937.0","5558.0","6379.0","4728.0","-23.0","-14.0","11960.0","4742.0"
"広   川   町","7074.0","3308.0","3766.0","2513.0","15.0","7.0","7059.0","2506.0"
"有田川町","26244.0","12345.0","13899.0","9511.0","-1.0","3.0","26245.0","9508.0"
"日高郡","50882.0","24097.0","26785.0","18979.0","-38.0","-10.0","50920.0","18989.0"
"美   浜   町","7370.0","3389.0","3981.0","2960.0","-21.0","-6.0","7391.0","2966.0"
"日   高   町","7677.0","3655.0","4022.0","2802.0","11.0","4.0","7666.0","2798.0"
"由   良   町","5731.0","2825.0","2906.0","2226.0","-7.0","-1.0","5738.0","2227.0"
"印   南   町","7926.0","3702.0","4224.0","2908.0","-23.0","-8.0","7949.0","2916.0"
"みなべ町","12562.0","5967.0","6595.0","4438.0","1.0","1.0","12561.0","4437.0"
"日高川町","9616.0","4559.0","5057.0","3645.0","1.0","0.0","9615.0","3645.0"
"西牟婁郡","40223.0","18808.0","21415.0","17489.0","-27.0","-4.0","40250.0","17493.0"
"白   浜   町","21174.0","9787.0","11387.0","9476.0","-18.0","0.0","21192.0","9476.0"
"上 富 田 町","15041.0","7125.0","7916.0","6119.0","-6.0","-3.0","15047.0","6122.0"
"す さ み 町","4008.0","1896.0","2112.0","1894.0","-3.0","-1.0","4011.0","1895.0"
"東牟婁郡","37833.0","17529.0","20304.0","17886.0","-33.0","-3.0","37866.0","17889.0"
"那智勝浦町","15385.0","7063.0","8322.0","7242.0","-11.0","3.0","15396.0","7239.0"
"太   地   町","3050.0","1379.0","1671.0","1383.0","4.0","4.0","3046.0","1379.0"
"古 座 川 町","2741.0","1243.0","1498.0","1341.0","-8.0","-2.0","2749.0","1343.0"
"北   山   村","430.0","193.0","237.0","237.0","-2.0","0.0","432.0","237.0"
"串本町","16227.0","7651.0","8576.0","7683.0","-16.0","-8.0","16243.0","7691.0"
