"""","平成２８年４月１日現在_人口_総数","平成２８年４月１日現在_人口_男","平成２８年４月１日現在_人口_女","平成２８年４月１日現在_世帯数","対前月増減_人口","対前月増減_世帯数","前月_人口","前月_世帯数"
"県       計","957747.0","450413.0","507334.0","392168.0","-2188.0","153.0","959935.0","392015.0"
"市　部　計","749012.0","352697.0","396315.0","307993.0","-1634.0","164.0","750646.0","307829.0"
"郡　部　計","208735.0","97716.0","111019.0","84175.0","-554.0","-11.0","209289.0","84186.0"
"和 歌 山 市","362994.0","170619.0","192375.0","153281.0","-457.0","196.0","363451.0","153085.0"
"海   南   市","51418.0","23964.0","27454.0","20627.0","-107.0","-18.0","51525.0","20645.0"
"橋   本   市","63211.0","29723.0","33488.0","23659.0","-166.0","12.0","63377.0","23647.0"
"有   田   市","28196.0","13342.0","14854.0","10583.0","-56.0","11.0","28252.0","10572.0"
"御   坊   市","24570.0","11881.0","12689.0","9924.0","-74.0","13.0","24644.0","9911.0"
"田   辺   市","74098.0","34758.0","39340.0","32047.0","-343.0","-58.0","74441.0","32105.0"
"新   宮   市","28983.0","13446.0","15537.0","13523.0","-179.0","-33.0","29162.0","13556.0"
"紀の川市","62174.0","29295.0","32879.0","23461.0","-148.0","25.0","62322.0","23436.0"
"岩出市","53368.0","25669.0","27699.0","20888.0","-104.0","16.0","53472.0","20872.0"
"海草郡","9082.0","4161.0","4921.0","3723.0","-26.0","0.0","9108.0","3723.0"
"紀美野町","9082.0","4161.0","4921.0","3723.0","-26.0","0.0","9108.0","3723.0"
"伊都郡","24483.0","11511.0","12972.0","9396.0","-65.0","11.0","24548.0","9385.0"
"かつらぎ町","16833.0","7801.0","9032.0","6310.0","-66.0","1.0","16899.0","6309.0"
"九 度 山 町","4339.0","1989.0","2350.0","1627.0","-5.0","-3.0","4344.0","1630.0"
"高   野   町","3311.0","1721.0","1590.0","1459.0","6.0","13.0","3305.0","1446.0"
"有田郡","45493.0","21315.0","24178.0","16715.0","-112.0","17.0","45605.0","16698.0"
"湯   浅   町","12097.0","5638.0","6459.0","4758.0","-50.0","3.0","12147.0","4755.0"
"広   川   町","7128.0","3334.0","3794.0","2500.0","-16.0","1.0","7144.0","2499.0"
"有田川町","26268.0","12343.0","13925.0","9457.0","-46.0","13.0","26314.0","9444.0"
"日高郡","51178.0","24213.0","26965.0","18973.0","-101.0","17.0","51279.0","18956.0"
"美   浜   町","7443.0","3424.0","4019.0","2984.0","-14.0","7.0","7457.0","2977.0"
"日   高   町","7644.0","3627.0","4017.0","2788.0","-5.0","5.0","7649.0","2783.0"
"由   良   町","5764.0","2827.0","2937.0","2218.0","-9.0","3.0","5773.0","2215.0"
"印   南   町","8002.0","3743.0","4259.0","2914.0","-22.0","-4.0","8024.0","2918.0"
"みなべ町","12617.0","5985.0","6632.0","4406.0","-36.0","-3.0","12653.0","4409.0"
"日高川町","9708.0","4607.0","5101.0","3663.0","-15.0","9.0","9723.0","3654.0"
"西牟婁郡","40372.0","18881.0","21491.0","17446.0","-85.0","11.0","40457.0","17435.0"
"白   浜   町","21259.0","9803.0","11456.0","9441.0","-100.0","-28.0","21359.0","9469.0"
"上 富 田 町","15049.0","7150.0","7899.0","6090.0","33.0","42.0","15016.0","6048.0"
"す さ み 町","4064.0","1928.0","2136.0","1915.0","-18.0","-3.0","4082.0","1918.0"
"東牟婁郡","38127.0","17635.0","20492.0","17922.0","-165.0","-67.0","38292.0","17989.0"
"那智勝浦町","15504.0","7122.0","8382.0","7257.0","-66.0","-17.0","15570.0","7274.0"
"太   地   町","3052.0","1379.0","1673.0","1382.0","-2.0","5.0","3054.0","1377.0"
"古 座 川 町","2779.0","1255.0","1524.0","1355.0","-15.0","-4.0","2794.0","1359.0"
"北   山   村","434.0","195.0","239.0","236.0","-6.0","-3.0","440.0","239.0"
"串本町","16358.0","7684.0","8674.0","7692.0","-76.0","-48.0","16434.0","7740.0"
