"""","平成２８年５月１日現在_人口_総数","平成２８年５月１日現在_人口_男","平成２８年５月１日現在_人口_女","平成２８年５月１日現在_世帯数","対前月増減_人口","対前月増減_世帯数","前月_人口","前月_世帯数"
"県       計","957267.0","450101.0","507166.0","392427.0","-751.0","667.0","958018.0","391760.0"
"市　部　計","748750.0","352524.0","396226.0","308186.0","-479.0","533.0","749229.0","307653.0"
"郡　部　計","208517.0","97577.0","110940.0","84241.0","-272.0","134.0","208789.0","84107.0"
"和 歌 山 市","362963.0","170549.0","192414.0","153338.0","-162.0","280.0","363125.0","153058.0"
"海   南   市","51406.0","23948.0","27458.0","20647.0","-31.0","18.0","51437.0","20629.0"
"橋   本   市","63100.0","29663.0","33437.0","23649.0","-99.0","17.0","63199.0","23632.0"
"有   田   市","28176.0","13335.0","14841.0","10589.0","-29.0","10.0","28205.0","10579.0"
"御   坊   市","24527.0","11864.0","12663.0","9929.0","-45.0","11.0","24572.0","9918.0"
"田   辺   市","74067.0","34751.0","39316.0","32160.0","-38.0","76.0","74105.0","32084.0"
"新   宮   市","28921.0","13430.0","15491.0","13534.0","-65.0","20.0","28986.0","13514.0"
"紀の川市","62132.0","29267.0","32865.0","23484.0","-76.0","26.0","62208.0","23458.0"
"岩出市","53458.0","25717.0","27741.0","20856.0","66.0","75.0","53392.0","20781.0"
"海草郡","9058.0","4143.0","4915.0","3728.0","-29.0","4.0","9087.0","3724.0"
"紀美野町","9058.0","4143.0","4915.0","3728.0","-29.0","4.0","9087.0","3724.0"
"伊都郡","24446.0","11490.0","12956.0","9402.0","-52.0","10.0","24498.0","9392.0"
"かつらぎ町","16803.0","7784.0","9019.0","6323.0","-47.0","9.0","16850.0","6314.0"
"九 度 山 町","4336.0","1985.0","2351.0","1621.0","-10.0","-4.0","4346.0","1625.0"
"高   野   町","3307.0","1721.0","1586.0","1458.0","5.0","5.0","3302.0","1453.0"
"有田郡","45455.0","21298.0","24157.0","16738.0","-67.0","19.0","45522.0","16719.0"
"湯   浅   町","12050.0","5621.0","6429.0","4753.0","-52.0","-10.0","12102.0","4763.0"
"広   川   町","7104.0","3324.0","3780.0","2506.0","-30.0","3.0","7134.0","2503.0"
"有田川町","26301.0","12353.0","13948.0","9479.0","15.0","26.0","26286.0","9453.0"
"日高郡","51117.0","24187.0","26930.0","18982.0","-67.0","23.0","51184.0","18959.0"
"美   浜   町","7444.0","3422.0","4022.0","2986.0","-1.0","4.0","7445.0","2982.0"
"日   高   町","7654.0","3633.0","4021.0","2795.0","10.0","6.0","7644.0","2789.0"
"由   良   町","5763.0","2835.0","2928.0","2212.0","-3.0","4.0","5766.0","2208.0"
"印   南   町","7978.0","3726.0","4252.0","2916.0","-23.0","1.0","8001.0","2915.0"
"みなべ町","12583.0","5970.0","6613.0","4415.0","-33.0","9.0","12616.0","4406.0"
"日高川町","9695.0","4601.0","5094.0","3658.0","-17.0","-1.0","9712.0","3659.0"
"西牟婁郡","40355.0","18853.0","21502.0","17472.0","-18.0","48.0","40373.0","17424.0"
"白   浜   町","21252.0","9780.0","11472.0","9439.0","-8.0","28.0","21260.0","9411.0"
"上 富 田 町","15037.0","7142.0","7895.0","6117.0","-9.0","19.0","15046.0","6098.0"
"す さ み 町","4066.0","1931.0","2135.0","1916.0","-1.0","1.0","4067.0","1915.0"
"東牟婁郡","38086.0","17606.0","20480.0","17919.0","-39.0","30.0","38125.0","17889.0"
"那智勝浦町","15489.0","7108.0","8381.0","7269.0","-14.0","16.0","15503.0","7253.0"
"太   地   町","3056.0","1382.0","1674.0","1380.0","5.0","0.0","3051.0","1380.0"
"古 座 川 町","2765.0","1250.0","1515.0","1359.0","-13.0","0.0","2778.0","1359.0"
"北   山   村","436.0","195.0","241.0","237.0","2.0","1.0","434.0","236.0"
"串本町","16340.0","7671.0","8669.0","7674.0","-19.0","13.0","16359.0","7661.0"
