"""","平成２８年６月１日現在_人口_総数","平成２８年６月１日現在_人口_男","平成２８年６月１日現在_人口_女","平成２８年６月１日現在_世帯数","対前月増減_人口","対前月増減_世帯数","前月_人口","前月_世帯数"
"県       計","956311.0","449792.0","506519.0","392866.0","-685.0","31.0","956996.0","392835.0"
"市　部　計","748049.0","352270.0","395779.0","308594.0","-484.0","68.0","748533.0","308526.0"
"郡　部　計","208262.0","97522.0","110740.0","84272.0","-201.0","-37.0","208463.0","84309.0"
"和 歌 山 市","362709.0","170539.0","192170.0","153602.0","-123.0","41.0","362832.0","153561.0"
"海   南   市","51346.0","23909.0","27437.0","20648.0","-41.0","3.0","51387.0","20645.0"
"橋   本   市","63060.0","29640.0","33420.0","23680.0","-52.0","4.0","63112.0","23676.0"
"有   田   市","28116.0","13298.0","14818.0","10592.0","-51.0","-1.0","28167.0","10593.0"
"御   坊   市","24530.0","11872.0","12658.0","9952.0","5.0","17.0","24525.0","9935.0"
"田   辺   市","73973.0","34690.0","39283.0","32123.0","-87.0","0.0","74060.0","32123.0"
"新   宮   市","28854.0","13395.0","15459.0","13513.0","-64.0","-30.0","28918.0","13543.0"
"紀の川市","62003.0","29218.0","32785.0","23498.0","-95.0","11.0","62098.0","23487.0"
"岩出市","53458.0","25709.0","27749.0","20986.0","24.0","23.0","53434.0","20963.0"
"海草郡","9044.0","4144.0","4900.0","3726.0","-9.0","-1.0","9053.0","3727.0"
"紀美野町","9044.0","4144.0","4900.0","3726.0","-9.0","-1.0","9053.0","3727.0"
"伊都郡","24394.0","11471.0","12923.0","9399.0","-37.0","-7.0","24431.0","9406.0"
"かつらぎ町","16768.0","7773.0","8995.0","6314.0","-18.0","-5.0","16786.0","6319.0"
"九 度 山 町","4320.0","1976.0","2344.0","1624.0","-9.0","1.0","4329.0","1623.0"
"高   野   町","3306.0","1722.0","1584.0","1461.0","-10.0","-3.0","3316.0","1464.0"
"有田郡","45380.0","21274.0","24106.0","16730.0","-46.0","-4.0","45426.0","16734.0"
"湯   浅   町","12024.0","5604.0","6420.0","4747.0","-21.0","-1.0","12045.0","4748.0"
"広   川   町","7094.0","3322.0","3772.0","2506.0","-4.0","3.0","7098.0","2503.0"
"有田川町","26262.0","12348.0","13914.0","9477.0","-21.0","-6.0","26283.0","9483.0"
"日高郡","51051.0","24157.0","26894.0","18974.0","-60.0","-22.0","51111.0","18996.0"
"美   浜   町","7432.0","3414.0","4018.0","2986.0","-10.0","-2.0","7442.0","2988.0"
"日   高   町","7656.0","3635.0","4021.0","2799.0","2.0","5.0","7654.0","2794.0"
"由   良   町","5756.0","2833.0","2923.0","2219.0","-5.0","-3.0","5761.0","2222.0"
"印   南   町","7967.0","3723.0","4244.0","2911.0","-12.0","-4.0","7979.0","2915.0"
"みなべ町","12562.0","5962.0","6600.0","4402.0","-22.0","-13.0","12584.0","4415.0"
"日高川町","9678.0","4590.0","5088.0","3657.0","-13.0","-5.0","9691.0","3662.0"
"西牟婁郡","40343.0","18869.0","21474.0","17499.0","-11.0","5.0","40354.0","17494.0"
"白   浜   町","21250.0","9799.0","11451.0","9481.0","-1.0","12.0","21251.0","9469.0"
"上 富 田 町","15036.0","7141.0","7895.0","6109.0","-4.0","0.0","15040.0","6109.0"
"す さ み 町","4057.0","1929.0","2128.0","1909.0","-6.0","-7.0","4063.0","1916.0"
"東牟婁郡","38050.0","17607.0","20443.0","17944.0","-38.0","-8.0","38088.0","17952.0"
"那智勝浦町","15459.0","7099.0","8360.0","7257.0","-31.0","-16.0","15490.0","7273.0"
"太   地   町","3064.0","1383.0","1681.0","1387.0","7.0","5.0","3057.0","1382.0"
"古 座 川 町","2776.0","1259.0","1517.0","1357.0","10.0","2.0","2766.0","1355.0"
"北   山   村","434.0","195.0","239.0","237.0","-2.0","0.0","436.0","237.0"
"串本町","16317.0","7671.0","8646.0","7706.0","-22.0","1.0","16339.0","7705.0"
