"""","平成２８年８月１日現在_人口_総数","平成２８年８月１日現在_人口_男","平成２８年８月１日現在_人口_女","平成２８年８月１日現在_世帯数","対前月増減_人口","対前月増減_世帯数","前月_人口","前月_世帯数"
"県       計","955374.0","449342.0","506032.0","393006.0","-538.0","-4.0","955912.0","393010.0"
"市　部　計","747442.0","351966.0","395476.0","308730.0","-427.0","-29.0","747869.0","308759.0"
"郡　部　計","207932.0","97376.0","110556.0","84276.0","-111.0","25.0","208043.0","84251.0"
"和 歌 山 市","362575.0","170478.0","192097.0","153709.0","-157.0","-10.0","362732.0","153719.0"
"海   南   市","51247.0","23862.0","27385.0","20639.0","-52.0","-14.0","51299.0","20653.0"
"橋   本   市","63011.0","29611.0","33400.0","23686.0","-22.0","4.0","63033.0","23682.0"
"有   田   市","28041.0","13270.0","14771.0","10592.0","-48.0","-4.0","28089.0","10596.0"
"御   坊   市","24504.0","11852.0","12652.0","9965.0","-7.0","-2.0","24511.0","9967.0"
"田   辺   市","73879.0","34620.0","39259.0","32121.0","-56.0","-7.0","73935.0","32128.0"
"新   宮   市","28824.0","13373.0","15451.0","13507.0","-46.0","-13.0","28870.0","13520.0"
"紀の川市","61921.0","29182.0","32739.0","23512.0","-39.0","13.0","61960.0","23499.0"
"岩出市","53440.0","25718.0","27722.0","20999.0","0.0","4.0","53440.0","20995.0"
"海草郡","9017.0","4132.0","4885.0","3716.0","-10.0","-2.0","9027.0","3718.0"
"紀美野町","9017.0","4132.0","4885.0","3716.0","-10.0","-2.0","9027.0","3718.0"
"伊都郡","24332.0","11429.0","12903.0","9402.0","-14.0","3.0","24346.0","9399.0"
"かつらぎ町","16717.0","7742.0","8975.0","6321.0","-13.0","4.0","16730.0","6317.0"
"九 度 山 町","4314.0","1974.0","2340.0","1625.0","-1.0","0.0","4315.0","1625.0"
"高   野   町","3301.0","1713.0","1588.0","1456.0","0.0","-1.0","3301.0","1457.0"
"有田郡","45305.0","21241.0","24064.0","16744.0","-22.0","5.0","45327.0","16739.0"
"湯   浅   町","11983.0","5581.0","6402.0","4754.0","-11.0","4.0","11994.0","4750.0"
"広   川   町","7067.0","3309.0","3758.0","2500.0","-16.0","-6.0","7083.0","2506.0"
"有田川町","26255.0","12351.0","13904.0","9490.0","5.0","7.0","26250.0","9483.0"
"日高郡","50982.0","24135.0","26847.0","18980.0","-25.0","10.0","51007.0","18970.0"
"美   浜   町","7411.0","3398.0","4013.0","2972.0","-4.0","-3.0","7415.0","2975.0"
"日   高   町","7657.0","3643.0","4014.0","2798.0","8.0","3.0","7649.0","2795.0"
"由   良   町","5744.0","2828.0","2916.0","2224.0","-8.0","0.0","5752.0","2224.0"
"印   南   町","7967.0","3725.0","4242.0","2915.0","-4.0","1.0","7971.0","2914.0"
"みなべ町","12576.0","5972.0","6604.0","4430.0","9.0","15.0","12567.0","4415.0"
"日高川町","9627.0","4569.0","5058.0","3641.0","-26.0","-6.0","9653.0","3647.0"
"西牟婁郡","40313.0","18855.0","21458.0","17507.0","-12.0","19.0","40325.0","17488.0"
"白   浜   町","21223.0","9804.0","11419.0","9486.0","-12.0","15.0","21235.0","9471.0"
"上 富 田 町","15042.0","7131.0","7911.0","6111.0","0.0","-1.0","15042.0","6112.0"
"す さ み 町","4048.0","1920.0","2128.0","1910.0","0.0","5.0","4048.0","1905.0"
"東牟婁郡","37983.0","17584.0","20399.0","17927.0","-28.0","-10.0","38011.0","17937.0"
"那智勝浦町","15424.0","7085.0","8339.0","7249.0","-18.0","-9.0","15442.0","7258.0"
"太   地   町","3062.0","1383.0","1679.0","1383.0","3.0","2.0","3059.0","1381.0"
"古 座 川 町","2763.0","1253.0","1510.0","1349.0","-6.0","-5.0","2769.0","1354.0"
"北   山   村","432.0","194.0","238.0","238.0","-2.0","0.0","434.0","238.0"
"串本町","16302.0","7669.0","8633.0","7708.0","-5.0","2.0","16307.0","7706.0"
